epoch,seconds,horizon,fallback_batches,train_loss,train_pred_mse,val_full_rel_l2,test_full_rel_l2,lr,params
216,59.751021,20,0,2.59703198e-01,2.52725070e-01,2.98411325e-01,2.96808587e-01,1.25000000e-04,745342
217,59.916814,20,0,2.61726354e-01,2.54709937e-01,3.02103084e-01,3.01721970e-01,1.25000000e-04,745342
218,59.334474,20,0,2.61871766e-01,2.54791489e-01,2.95916318e-01,2.94335626e-01,1.25000000e-04,745342
219,59.844280,20,0,2.64632965e-01,2.57592418e-01,2.95990839e-01,2.94495599e-01,1.25000000e-04,745342
220,59.340571,20,0,2.58873964e-01,2.51859395e-01,3.03071530e-01,3.00748001e-01,1.25000000e-04,745342
221,59.954796,20,0,2.62808287e-01,2.55688039e-01,2.97415464e-01,2.96201589e-01,1.25000000e-04,745342
222,60.435782,20,0,2.63049283e-01,2.56027646e-01,3.00390297e-01,2.99179981e-01,1.25000000e-04,745342
223,60.157809,20,0,2.63346690e-01,2.56308412e-01,2.97861551e-01,2.96653408e-01,1.25000000e-04,745342
224,60.059894,20,0,2.64488741e-01,2.57404588e-01,3.00524533e-01,2.97277822e-01,1.25000000e-04,745342
225,60.470198,20,0,2.59948133e-01,2.52829761e-01,2.99112971e-01,2.96572001e-01,1.25000000e-04,745342
226,59.486390,20,0,2.60504375e-01,2.53443115e-01,2.97035646e-01,2.96225274e-01,1.25000000e-04,745342
227,60.013651,20,0,2.61637655e-01,2.54602546e-01,2.95858805e-01,2.95034912e-01,1.25000000e-04,745342
228,59.386907,20,0,2.61124380e-01,2.53929032e-01,2.99205726e-01,2.97818420e-01,1.25000000e-04,745342
229,59.494797,20,0,2.65916942e-01,2.58824881e-01,2.94129096e-01,2.93007536e-01,1.25000000e-04,745342
230,59.620272,20,0,2.59120414e-01,2.52042188e-01,3.13322006e-01,3.11132445e-01,1.25000000e-04,745342
