epoch,seconds,horizon,train_loss,train_pred_mse,val_full_rel_l2,test_full_rel_l2,lr,params
262,0.292010,1,9.89094177e-04,9.87829375e-04,,4.27948001e-02,2.50000000e-04,124581
263,0.300576,1,9.79184113e-04,9.77964375e-04,,4.29173440e-02,2.50000000e-04,124581
264,0.291684,1,9.78404023e-04,9.77163224e-04,,4.30665657e-02,2.50000000e-04,124581
265,0.297854,1,9.87214261e-04,9.85840264e-04,,4.56043914e-02,2.50000000e-04,124581
266,0.291783,1,9.87743574e-04,9.86406412e-04,,4.48617077e-02,2.50000000e-04,124581
267,0.299236,1,9.79311447e-04,9.78010729e-04,,4.23346063e-02,2.50000000e-04,124581
268,0.291474,1,9.82555039e-04,9.81292296e-04,,4.46820393e-02,2.50000000e-04,124581
269,0.298257,1,9.82083954e-04,9.80700494e-04,,4.20637083e-02,2.50000000e-04,124581
270,0.291617,1,9.74104214e-04,9.72880054e-04,,4.41619715e-02,2.50000000e-04,124581
271,0.298905,1,9.76115372e-04,9.74787962e-04,,4.22604415e-02,2.50000000e-04,124581
272,0.292698,1,9.75998007e-04,9.74747123e-04,,4.36538696e-02,2.50000000e-04,124581
273,0.298638,1,9.74515612e-04,9.73135486e-04,,4.29497498e-02,2.50000000e-04,124581
274,0.291960,1,9.70256053e-04,9.68999042e-04,,4.45864734e-02,2.50000000e-04,124581
275,0.296824,1,9.69719384e-04,9.68472972e-04,,4.28895779e-02,2.50000000e-04,124581
276,0.291614,1,9.78372189e-04,9.77132643e-04,,4.16572453e-02,2.50000000e-04,124581
277,0.294395,1,9.64711186e-04,9.63518399e-04,,4.31117889e-02,2.50000000e-04,124581
278,0.287498,1,9.66534026e-04,9.65307513e-04,,4.35553183e-02,2.50000000e-04,124581
