nohup: ignoring input
epoch 0270 | 0.29s | horizon 01 | train 9.741042e-04 | test 4.416197e-02
epoch 0271 | 0.30s | horizon 01 | train 9.761154e-04 | test 4.226044e-02
epoch 0272 | 0.29s | horizon 01 | train 9.759980e-04 | test 4.365387e-02
epoch 0273 | 0.30s | horizon 01 | train 9.745156e-04 | test 4.294975e-02
epoch 0274 | 0.29s | horizon 01 | train 9.702561e-04 | test 4.458647e-02
epoch 0275 | 0.30s | horizon 01 | train 9.697194e-04 | test 4.288958e-02
epoch 0276 | 0.29s | horizon 01 | train 9.783722e-04 | test 4.165725e-02
epoch 0277 | 0.29s | horizon 01 | train 9.647112e-04 | test 4.311179e-02
epoch 0278 | 0.29s | horizon 01 | train 9.665340e-04 | test 4.355532e-02
epoch 0279 | 0.30s | horizon 01 | train 9.680908e-04 | test 4.190513e-02
epoch 0280 | 0.29s | horizon 01 | train 9.669043e-04 | test 4.515644e-02
epoch 0281 | 0.30s | horizon 01 | train 9.671317e-04 | test 4.412764e-02
epoch 0282 | 0.29s | horizon 01 | train 9.646315e-04 | test 4.218624e-02
epoch 0283 | 0.30s | horizon 01 | train 9.661837e-04 | test 4.408349e-02
epoch 0284 | 0.28s | horizon 01 | train 9.672250e-04 | test 4.176754e-02
epoch 0285 | 0.29s | horizon 01 | train 9.556022e-04 | test 4.487705e-02
epoch 0286 | 0.29s | horizon 01 | train 9.690565e-04 | test 4.226582e-02
epoch 0287 | 0.30s | horizon 01 | train 9.603300e-04 | test 4.280938e-02
epoch 0288 | 0.29s | horizon 01 | train 9.586561e-04 | test 4.608691e-02
epoch 0289 | 0.30s | horizon 01 | train 9.582868e-04 | test 4.251760e-02
epoch 0290 | 0.29s | horizon 01 | train 9.556071e-04 | test 4.269657e-02
epoch 0291 | 0.30s | horizon 01 | train 9.599882e-04 | test 4.207998e-02
epoch 0292 | 0.29s | horizon 01 | train 9.640695e-04 | test 4.321311e-02
epoch 0293 | 0.30s | horizon 01 | train 9.609242e-04 | test 4.391376e-02
epoch 0294 | 0.29s | horizon 01 | train 9.491602e-04 | test 4.188763e-02
epoch 0295 | 0.30s | horizon 01 | train 9.536572e-04 | test 4.233927e-02
epoch 0296 | 0.29s | horizon 01 | train 9.518194e-04 | test 4.321828e-02
epoch 0297 | 0.30s | horizon 01 | train 9.451306e-04 | test 4.311617e-02
epoch 0298 | 0.29s | horizon 01 | train 9.459124e-04 | test 4.344777e-02
epoch 0299 | 0.30s | horizon 01 | train 9.489739e-04 | test 4.376592e-02
epoch 0300 | 0.29s | horizon 01 | train 9.539922e-04 | test 4.320025e-02
epoch 0301 | 0.30s | horizon 01 | train 9.450492e-04 | test 4.174440e-02
epoch 0302 | 0.29s | horizon 01 | train 9.400914e-04 | test 4.179577e-02
epoch 0303 | 0.30s | horizon 01 | train 9.383976e-04 | test 4.171870e-02
epoch 0304 | 0.29s | horizon 01 | train 9.396623e-04 | test 4.211392e-02
epoch 0305 | 0.29s | horizon 01 | train 9.378622e-04 | test 4.206544e-02
epoch 0306 | 0.29s | horizon 01 | train 9.422743e-04 | test 4.129314e-02
epoch 0307 | 0.30s | horizon 01 | train 9.407204e-04 | test 4.306743e-02
epoch 0308 | 0.26s | horizon 01 | train 9.430868e-04 | test 4.197712e-02
epoch 0309 | 0.29s | horizon 01 | train 9.419552e-04 | test 4.153313e-02
epoch 0310 | 0.29s | horizon 01 | train 9.358717e-04 | test 4.171028e-02
epoch 0311 | 0.30s | horizon 01 | train 9.373492e-04 | test 4.198735e-02
epoch 0312 | 0.29s | horizon 01 | train 9.327315e-04 | test 4.223716e-02
epoch 0313 | 0.30s | horizon 01 | train 9.333580e-04 | test 4.158379e-02
epoch 0314 | 0.29s | horizon 01 | train 9.328023e-04 | test 4.244999e-02
epoch 0315 | 0.30s | horizon 01 | train 9.341940e-04 | test 4.165909e-02
epoch 0316 | 0.29s | horizon 01 | train 9.302084e-04 | test 4.134314e-02
epoch 0317 | 0.30s | horizon 01 | train 9.336186e-04 | test 4.209069e-02
epoch 0318 | 0.29s | horizon 01 | train 9.388943e-04 | test 4.150746e-02
epoch 0319 | 0.30s | horizon 01 | train 9.312567e-04 | test 4.154170e-02
epoch 0320 | 0.29s | horizon 01 | train 9.311887e-04 | test 4.139602e-02
epoch 0321 | 0.30s | horizon 01 | train 9.306647e-04 | test 4.147063e-02
epoch 0322 | 0.24s | horizon 01 | train 9.312698e-04 | test 4.178868e-02
epoch 0323 | 0.25s | horizon 01 | train 9.315312e-04 | test 4.157352e-02
