nohup: ignoring input
epoch 0274 | 106.07s | horizon 40 | train 1.906552e-02 | val 2.24709035e-02
epoch 0275 | 106.30s | horizon 40 | train 1.906953e-02 | val 2.32575951e-02
epoch 0276 | 104.27s | horizon 40 | train 1.908103e-02 | val 2.21879267e-02
epoch 0277 | 106.31s | horizon 40 | train 1.906798e-02 | val 2.22655021e-02
epoch 0278 | 107.10s | horizon 40 | train 1.905701e-02 | val 2.24674968e-02
epoch 0279 | 107.62s | horizon 40 | train 1.911677e-02 | val 1.80315831e-02
epoch 0280 | 110.65s | horizon 40 | train 1.776308e-02 | val 1.79594314e-02
epoch 0281 | 105.39s | horizon 40 | train 1.635036e-02 | val 1.42712470e-02
epoch 0282 | 107.88s | horizon 40 | train 1.643062e-02 | val 1.53679791e-02
epoch 0283 | 107.73s | horizon 40 | train 1.754132e-02 | val 1.89544313e-02
epoch 0284 | 108.22s | horizon 40 | train 1.702983e-02 | val 1.55958401e-02
epoch 0285 | 107.15s | horizon 40 | train 1.556260e-02 | val 1.44523651e-02
epoch 0286 | 109.06s | horizon 40 | train 1.623525e-02 | val 2.05475105e-02
epoch 0287 | 105.68s | horizon 40 | train 1.606875e-02 | val 1.37956015e-02
epoch 0288 | 106.53s | horizon 40 | train 1.610370e-02 | val 1.40013716e-02
epoch 0289 | 107.60s | horizon 40 | train 1.615607e-02 | val 1.41816352e-02
epoch 0290 | 107.39s | horizon 40 | train 1.624473e-02 | val 1.41555941e-02
epoch 0291 | 107.30s | horizon 40 | train 1.636126e-02 | val 1.42392308e-02
epoch 0292 | 106.18s | horizon 40 | train 1.634319e-02 | val 1.42874542e-02
epoch 0293 | 104.60s | horizon 40 | train 1.636739e-02 | val 1.43653701e-02
epoch 0294 | 104.80s | horizon 40 | train 1.636816e-02 | val 1.43866839e-02
epoch 0295 | 107.73s | horizon 40 | train 1.644981e-02 | val 1.46750299e-02
epoch 0296 | 108.86s | horizon 40 | train 1.646668e-02 | val 1.45435540e-02
epoch 0297 | 110.42s | horizon 40 | train 1.655115e-02 | val 1.45834184e-02
epoch 0298 | 109.51s | horizon 40 | train 1.656849e-02 | val 1.45486884e-02
epoch 0299 | 107.20s | horizon 40 | train 1.656989e-02 | val 1.47068201e-02
