nohup: ignoring input
epoch 0356 | 0.25s | horizon 01 | train 7.309132e-03 | val n/a
epoch 0357 | 0.25s | horizon 01 | train 7.455260e-03 | val n/a
epoch 0358 | 0.25s | horizon 01 | train 7.568183e-03 | val n/a
epoch 0359 | 0.25s | horizon 01 | train 7.668834e-03 | val n/a
epoch 0360 | 0.24s | horizon 01 | train 7.528582e-03 | val n/a
epoch 0361 | 0.24s | horizon 01 | train 7.416629e-03 | val n/a
epoch 0362 | 0.25s | horizon 01 | train 7.369043e-03 | val n/a
epoch 0363 | 0.26s | horizon 01 | train 7.370763e-03 | val n/a
epoch 0364 | 0.28s | horizon 01 | train 7.376402e-03 | val n/a
epoch 0365 | 0.25s | horizon 01 | train 7.395837e-03 | val n/a
epoch 0366 | 0.26s | horizon 01 | train 7.200601e-03 | val n/a
epoch 0367 | 0.28s | horizon 01 | train 7.513973e-03 | val n/a
epoch 0368 | 0.23s | horizon 01 | train 7.556054e-03 | val n/a
epoch 0369 | 0.28s | horizon 01 | train 7.485457e-03 | val n/a
epoch 0370 | 0.22s | horizon 01 | train 7.547863e-03 | val n/a
epoch 0371 | 0.22s | horizon 01 | train 7.483186e-03 | val n/a
epoch 0372 | 0.23s | horizon 01 | train 7.575892e-03 | val n/a
epoch 0373 | 0.24s | horizon 01 | train 7.765385e-03 | val n/a
epoch 0374 | 0.23s | horizon 01 | train 7.398994e-03 | val n/a
epoch 0375 | 0.24s | horizon 01 | train 7.373946e-03 | val n/a
