nohup: ignoring input
epoch 0278 | 85.20s | horizon 40 | train 3.207571e-02 | val 2.70944487e-02
epoch 0279 | 85.73s | horizon 40 | train 3.238806e-02 | val 2.85209388e-02
epoch 0280 | 85.40s | horizon 40 | train 2.891697e-02 | val 2.90257296e-02
epoch 0281 | 85.58s | horizon 40 | train 2.804563e-02 | val 3.06418616e-02
epoch 0282 | 85.75s | horizon 40 | train 3.113704e-02 | val 2.91438054e-02
epoch 0283 | 85.78s | horizon 40 | train 2.892837e-02 | val 4.29132812e-02
epoch 0284 | 85.01s | horizon 40 | train 3.023874e-02 | val 2.84183156e-02
epoch 0285 | 85.51s | horizon 40 | train 2.691676e-02 | val 2.45236363e-02
epoch 0286 | 87.63s | horizon 40 | train 2.917010e-02 | val 3.78309439e-02
epoch 0287 | 85.35s | horizon 40 | train 3.062479e-02 | val 2.53888063e-02
epoch 0288 | 88.26s | horizon 40 | train 3.161621e-02 | val 2.88263223e-02
epoch 0289 | 86.59s | horizon 40 | train 3.258149e-02 | val 2.92134884e-02
epoch 0290 | 86.92s | horizon 40 | train 3.103763e-02 | val 2.90741423e-02
epoch 0291 | 87.58s | horizon 40 | train 2.813965e-02 | val 3.69330497e-02
epoch 0292 | 85.32s | horizon 40 | train 2.963217e-02 | val 2.97105277e-02
epoch 0293 | 86.18s | horizon 40 | train 2.882461e-02 | val 2.54214747e-02
epoch 0294 | 86.23s | horizon 40 | train 2.908062e-02 | val 2.82989433e-02
epoch 0295 | 85.49s | horizon 40 | train 2.956450e-02 | val 2.62218156e-02
epoch 0296 | 85.72s | horizon 40 | train 3.106068e-02 | val 3.86424191e-02
epoch 0297 | 84.59s | horizon 40 | train 2.964253e-02 | val 3.12125663e-02
epoch 0298 | 85.17s | horizon 40 | train 2.738192e-02 | val 2.85538346e-02
epoch 0299 | 88.48s | horizon 40 | train 2.757903e-02 | val 3.13386814e-02
epoch 0300 | 85.41s | horizon 40 | train 2.446346e-02 | val 2.31889451e-02
epoch 0301 | 86.52s | horizon 40 | train 2.387339e-02 | val 2.56220447e-02
epoch 0302 | 85.98s | horizon 40 | train 2.390851e-02 | val 2.27831873e-02
epoch 0303 | 86.53s | horizon 40 | train 2.403547e-02 | val 2.93616977e-02
epoch 0304 | 89.63s | horizon 40 | train 2.327122e-02 | val 2.34952077e-02
epoch 0305 | 86.93s | horizon 40 | train 2.284206e-02 | val 2.30717479e-02
epoch 0306 | 87.61s | horizon 40 | train 2.376332e-02 | val 2.29308057e-02
epoch 0307 | 85.99s | horizon 40 | train 2.395186e-02 | val 2.23167095e-02
epoch 0308 | 87.16s | horizon 40 | train 2.338523e-02 | val 2.26429232e-02
epoch 0309 | 85.10s | horizon 40 | train 2.402785e-02 | val 2.53001199e-02
epoch 0310 | 86.07s | horizon 40 | train 2.339968e-02 | val 2.22368359e-02
epoch 0311 | 87.30s | horizon 40 | train 2.384106e-02 | val 2.46660027e-02
epoch 0312 | 86.80s | horizon 40 | train 2.416479e-02 | val 2.29760253e-02
epoch 0313 | 87.77s | horizon 40 | train 2.328115e-02 | val 2.34937789e-02
epoch 0314 | 83.40s | horizon 40 | train 2.280900e-02 | val 2.35603704e-02
epoch 0315 | 86.82s | horizon 40 | train 2.297019e-02 | val 2.50897063e-02
epoch 0316 | 82.22s | horizon 40 | train 2.312655e-02 | val 2.26845803e-02
epoch 0317 | 81.24s | horizon 40 | train 2.343538e-02 | val 2.15701013e-02
epoch 0318 | 81.48s | horizon 40 | train 2.355395e-02 | val 2.58059680e-02
epoch 0319 | 80.63s | horizon 40 | train 2.283598e-02 | val 2.53507341e-02
epoch 0320 | 83.03s | horizon 40 | train 2.321479e-02 | val 2.34707110e-02
epoch 0321 | 82.34s | horizon 40 | train 2.266456e-02 | val 2.15065850e-02
epoch 0322 | 80.83s | horizon 40 | train 2.327301e-02 | val 2.15480739e-02
epoch 0323 | 79.92s | horizon 40 | train 2.302265e-02 | val 2.23563406e-02
